speaker,line,scene
Jesse,"Thanks.   You know what? Not service-oriented. It‘s just, I don't know, an observation about Europe.",2
Jesse,"  Alright, I have an admittedly insane idea, but if I don't ask you this, it‘s just, uh, you know, it‘s gonna haunt me the rest of my life.",3
Céline,What?,3
Jesse,"Um...   I want to keep talking to you, you know. I have no idea what your situation is, but, uh, but I feel like we have some kind of uh, connection. Right?",3
Céline,"Yeah, me too.",3
Jesse,"Yeah, right, well, great.   So listen, so here's the deal. This is what we should do. You should get off the train with me here in Vienna, and come check out the town.",3
Céline,  What?,3
Jesse,Come on. It'll be fun. Come on.,3
Céline,What would we do?,3
Jesse,"Umm, I don't know. All I know is I have to catch an Austrian Airlines flight tomorrow morning at nine-thirty, and I don't really have enough money for a hotel, so I was just going to walk around, and it would be a lot more fun if you came with me. And if I turn out to be some kind of psycho, you know, you just get on the next train.",3
Jesse,"Alright, alright. Think of it like this. Umm-uh, jump ahead, ten, twenty years, okay, and you're married. Only your marriage doesn't have that same energy that it used to have, you know. You start to blame your husband. You start to think about all those guys you've met in your life, and what MIGHT have happened if you'd picked up with one of them, right?",3
Céline,  Let me get my bag.,3
Jesse,  Yeah!,3
Jesse,We should get a locker for all this stuff.,3
Céline,Okay.,3
Céline,What's your name?,3
Céline,"You mean, “Jesse James”? No.",3
Jesse,"No, no. Just Jesse.",3
Céline,I'm Céline.,3
Jesse,This is a nice bridge.,4
Céline,Yeah.,4
Céline,This is kind of weird.,4
Jesse,"Yeah, this is kind of weird isn't it? I mean, I feel a little awkward. Um...But it‘s alright, right? It‘s okay.",4
Céline,"Yeah, this is great, this is great. Let's go to some places. Look at your book.",4
Jesse,"Yeah, we're in Vienna, let's go to some places. Let's ask these guys.",4
Jesse,"Excuse me, excuse me uh, sprechen Sie English?",4
Jesse,What?,4
Jesse,"Well, listen, we just got into Vienna today, and we're looking for something fun to do.",4
Céline,"Like museums, exhibitions, things...",4
Jesse,Just for tonight.,4
Jesse,  Uh...,4
Céline,We're on honeymoon.,4
Jesse,"Yeah, she got pregnant, we had to get married, you know.",4
Céline,You're actors?,4
Jesse,"So, you have a real cow on stage.",4
Céline,Great.,4
Céline,"Oh, the big Ferris wheel?",4
Céline,"Oh, we should go.",4
Jesse,Twenty-one thirty?,4
Céline,Nine-thirty.,4
Jesse,"Nine-thirty? Oh, right, right. Okay, great, well, what's the name of this play?",4
Jesse,Alright.,4
Jesse,We'll try to be there.,4
Jesse,We'll try.,4
Jesse,You're the cow.,4
Jesse,"Alright, I got an idea. Are you ready?",5
Céline,Okay.,5
Jesse,"Alright, it's Q&A time. We've known each other a little while now, we're stuck together, so we're going to ask each other a few uh, direct questions. Alright?",5
Céline,"So, we ask each other questions.",5
Jesse,And you have to answer one hundred percent honestly.,5
Céline,Of course.,5
Jesse,"Okay, alright, first question.",5
Céline,You.,5
Jesse,  Describe for me your first sexual feelings towards a person.,5
Jesse,Jean-Marc Fleury?,5
Céline,I remember we were at this summer camp together. And he was a swimmer.,5
Jesse,Um-hmm...,5
Céline,"Yeah, he had bleached out chlorine hair and green eyes. And to improve his times, he'd shave the hair off his legs and arms.",5
Jesse,That's disgusting.,5
Céline,"Oh, no. He was like this gorgeous dolphin. And my friend Emma had a big, big crush on him. So one day I was cutting, you know across the field, back to my room, and he came walking up beside me. You know, and I told him, you know, you should date Emma, she has a big crush on you. And he turned to me and said,   Yeah, it really scared the hell out of me, because I thought he was so fine. And then he officially asked me out on a date, and you know I pretended I didn't like him. You know I was, I was so afraid of what I might do, you know. Uh, well. So, you know, I went to see him swim a few times, at the swim competition. And he was so sexy, really, I mean, really sexy. You know we kind of wrote these little declarations of love to each other at the end of the summer, and you know, promised we would keep writing forever, and I, you know, meet again very soon, and...",5
Jesse,Did you?,5
Céline,Of course not.,5
Jesse,"Well, then I think this is the opportune time to tell you that I happen to be a fantastic swimmer.",5
Céline,Really?,5
Jesse,Yeah.,5
Céline,I'll make note of that.,5
Jesse,Okay. Uh..,5
Céline,"So its my turn, no?",5
Jesse,"Yes, yeah, it's your turn.",5
Céline,"Uh, have you ever been in love?",5
Jesse,Yes. Next question. What was the fir--,5
Céline,"Wait, wait.",5
Jesse,What?,5
Céline,Wait a minute.,5
Jesse,What?,5
Céline,So I can give one word answers?,5
Jesse,"Sure, why not?",5
Céline,"No, no. After I went into such private details about my first sexual feelings.",5
Jesse,"Yeah, I, I know, but, sexual feel...Those are two very different questions. I mean, I could've answered the sexual feelings thing, no problem, but you know, love. Well, what if I asked you about love?",5
Céline,"I would have lied, but at least, you know, I would have made up a great story.",5
Jesse,"  Yeah, well, you would have lied. Great. I mean, love is a complex issue. You know, I mean, it‘s like, uh. I mean, yes, I have told somebody that I love them before, and I have meant it. Was it totally a totally unselfish, giving love? Was it a beautiful thing? Not really, you know. It‘s like love, I mean, uh, I don't know. You know?",5
Céline,"Yeah, I know what you mean.",5
Jesse,"But as far as sexual feelings go, I'll have you know it started with an obsessive relationship with Miss July 1978. Do you know Playboy magazine?",5
Céline,"Oh, yeah, I've heard of it.",5
Jesse,Yeah? Do you know Crystal?,5
Céline,No...,5
Jesse,"You don't know Crystal? Well, I knew Crystal. Well...  Is it, um...my turn now. Okay. Tell me something that really pisses you off, really drives you crazy.",5
Céline,Pisses me off? My God! Everything pisses me off.,5
Jesse,"Okay, okay, list a couple.",5
Céline,"Uh, okay. I hate being told by a strange man, a strange man in the street, you know, like, to smile, like, to make them feel better about their boring life, um, what else? I hate, I hate  that three hundred kilometers from here there's a war going on, you know, people are dying, and nobody knows what to do about it, or they don't give a shit, I don't know. I hate that the media, you know, they are trying to control our minds.",5
Jesse,The media?,5
Céline,"Yeah, the media. You know it‘s very subtle, but you know, it‘s a new form of fascism.   I hate that. I can't stand that, really.",5
Jesse,Is that all?,5
Céline,"Well, there's a lot of things, really. So it‘s my turn.",5
Jesse,Okay.,5
Céline,You're going to answer.,5
Jesse,"Yes, I'll answer.",5
Céline,"Ah, what's a problem for you?",5
Jesse,"You, probably.",5
Céline,What?,5
Jesse,"Um, no, alright, I had a thought the other day that was kind of a--qualifies as a problem.",5
Céline,What is it?,5
Jesse,"Well, it was a thought I had on the train, so...um...okay, alright. Um, do you believe in reincarnation?",5
Céline,"Yeah, yeah, its interesting.",5
Jesse,"Most people, you know, a lot of people talk about the past lives, and things like that, you know, and even if they don't believe in it in some specific way, you know, people have some kind of notion of an eternal soul, right?",5
Céline,Yeah.,5
Jesse,"Okay. Well, this is my thought. Fifty thousand years ago, there are not even a million people on the planet. Ten thousand years ago, there's like two million people on the planet. Now, there's between five and six billion people on the planet, right? Now, if we all have our own, like, individual, unique soul, right, where do they all come from? Are modern souls only a fraction of the original souls?. Because if they are, that represents a five thousand-to-one split of each soul in just the last fifty thousand years, which is like a blip in the earth's time. You know, so, at best, we're like these tiny fractions of people, you know, walking... I mean, is that why we're all so scattered? You know, is that why we're all so specialized?",5
Céline,"Wait a minute, I'm not sure I...I don't....",5
Jesse,"Hang on, I know, I know, its a totally scattered thought, which is kind of why it makes sense.",5
Céline,Yeah...   I agree with you.,5
Jesse,Let's get off this damn tram.,5
Jesse,  This place is pretty neat.,6
Céline,"Yeah, there's even a listening booth over there.   I think she's American. A friend of mine told me about her.",6
Jesse,  Do you want to go see if that listening booth still works?,6
Céline,"Yeah, okay.",6
Jesse,Look at this. This is beautiful.,6
Céline,Quickly. It‘s leaving.,6
Céline,"Oh, look, there's a rabbit.",7
Jesse,"Yeah. Hey there, rabbit.",7
Céline,He's so cute.   I visited this as a young teenager. I think it left a bigger impression on me at that time than any of the museums we went to.,7
Jesse,Yeah? It‘s tiny.,7
Céline,I know. There was this little old man that talked to us. He was the groundskeeper. He explained that most of the people are buried here that washed up on the bank of the Danube.,7
Jesse,How old are these?,7
Céline,"Around the beginning of the century or so. It's called the cemetery of the no-name because they often didn't know who these people were. Maybe a first name, that's all.",7
Jesse,Why were all the bodies washing up?,7
Céline,"I think some were from accidents, on boats and things like that, but most of them were suicides that jumped in the river. I always liked the idea of all those unknown people lost in the world. When I was a little girl, I thought that if none of your family or friends knew you were dead, then it‘s like not really being dead. People can invent the best and the worst for you.   Ah, here she is, I think. Yeah, this is, this is the one I remember the most.   She was only thirteen when she died. That meant something to me, you know, I was around that age when I first saw this. Hmm. Now, I'm ten years older, and she's still thirteen, I guess. That's funny.",7
Céline,That's the Danube over there.,8
Jesse,"That's the river, right?",8
Céline,  Yeah.,8
Jesse,  This is gorgeous.,8
Céline,"Yeah, it‘s very beautiful.",8
Jesse,"  We got, uh, we got a sunset here.",8
Céline,Yeah.,8
Jesse,"We got the Ferris wheel. It seems like, um, this would be a...",8
Céline,What?,8
Jesse,"  Uh, you know, uh.",8
Céline,  Are you trying to say you want to kiss me?,8
Céline,  Yes.,8
Céline,But you know what?,8
Jesse,What?,8
Céline,"I don't think it really matters what generation you are born into. Look at my parents. They were these angry, young, May '68 people, revolting against everything. You know, the government, their conservative catholic backgrounds, I mean. I was born not long after, and then my father went on to become this successful architect, and they began to travel all around the world, where he built bridges, and towers, and stuff. I mean, I really can't complain about anything. You know, they love me more than anything in the world, and I have been raised with all the freedom they had fought for. And yet for me now, it‘s another type of fight. We still have to deal with the same old shit, but we can't really know who, or you know, what the enemy is.",8
Jesse,"I don't really know if there is an enemy. You know, I mean, everybody's parents fuck them up. You know, rich kids' parents gave them too much, poor kids' not enough. Too much attention, not enough attention. They either left them, or you know, they stuck around and taught 'em the wrong things. You know. I mean, my parents are just these two people who didn't like each other very much, who, uh, decided to get married and have a kid, and they try their best to be nice to me.",8
Céline,Did your parents divorce?,8
Jesse,"Yeah. Finally. They should have done it a lot sooner, but they stuck together for a while   for the well-being of my sister and I, thank you very much.   I remember my mother once. She told me, right in front of my father, they were having this big fight, that he didn't really want to have me, you know, that he was really pissed off when he found out that she was pregnant with me, you know, that I was this big mistake. And I think that really shaped the way I think. I always saw the world as this place  where I really wasn't meant to be.",8
Céline,That's so sad.,8
Jesse,"No, I mean, I eventually kind of took pride in it. You know, like my life was my own doing, or something. You know, like I was crashing 'The Big Party.'",8
Céline,"That's a way to see it. You know, my parents, they're still married, and I guess they're very happy, but I just think it‘s a healthy process to rebel against everything that came before.",8
Jesse,Yeah. Yeah.,8
Céline,"You know, I've been wondering lately. Do you know anyone who's in a happy relationship?",8
Jesse,"Uh, yeah, sure. You know, I know happy couples. But I think they lie to each other.",8
Céline,"Hmmph. Yeah. People can lead their life as a lie. My grandmother, she was married to this man, and I always thought she had a very simple, uncomplicated love life. But she just confessed to me that she spent her whole life dreaming about another man she was always in love with. She just accepted her fate. It's so sad. And in the same time, I love the idea that she had all those emotions and feelings I never thought she would have had.",8
Jesse,"I guarantee you, it was better that way. If she'd ever got to know him, you know, I'm sure he would have disappointed her eventually.",8
Céline,How do you know? You don't know them.,8
Jesse,"Yeah, I know, I know. It's just, people have these romantic projections they put on everything. You know. That's not based on any kind of reality.",8
Céline,Romantic projections?,8
Jesse,Yeah.,8
Céline,"Oh, Mr. Romantic, up there in the Ferris wheel   Oh, kiss me, the sunset, oh, it‘s so beautiful.",8
Jesse,"Oh, alright, alright, alright. Tell me about your grandmother. What were you saying about her?",8
Céline,"No, uh --",8
Céline,Yeah.,9
Jesse,Come here.,9
Céline,What?,9
Jesse,Come here.,9
Céline,"Look at this palm-reader. She's interesting-looking, no?",9
Jesse,Yeah.,9
Céline,"Uh-oh, uh-oh.",9
Jesse,"What, what?",9
Céline,I just made eye contact.,9
Jesse,She's not coming over here.,9
Céline,"Yes, she is.",9
Jesse,"Oh, shit. Oh, no.",9
Céline,Oh my God. You want your palm read?,9
Jesse,"No, no.",9
Céline,No? Are you sure?,9
Jesse,I'm sure.,9
Céline,Okay.,9
Jesse,Hello.,9
Céline,Here she is.,9
Céline,"  Uh, français, English?",9
Céline,  Yeah. How much is it.,9
Céline,Okay.,9
Céline,I guess so.,9
Jesse,"  I mean, that's very nice and all, I mean, that, you know, we're all stardust, and you're becoming this great woman, I mean, but I hope you don't take that any more seriously than some horoscope in a daily syndicated newspaper.",9
Céline,"You, what are you talking about? I mean, she knew I was on vacation, and that we didn't know each other, and that   I was going to become this great woman.",9
Jesse,"Aw c'mon. But what was that “I am learning” bullshit? I mean, that's WAY condescending. You know? I mean, she wasn't even doing me. I mean, if opportunists like that, ever had to tell the real truth, it would put their ASSES out of business. You know? I mean,  just once, I'd love to see, some little old lady, save up all her money, you know, to go to the fortune teller, and she'd get there, all excited about hearing her future, and the woman would say   , “Um-hmm. Tomorrow, and all your remaining days will be exactly like today--a tedious collection of hours. And you will  have no new passions, and no new thoughts, and no new travels, and when you die, you'll be completely forgotten. Fifty shillings, please.” You know, that I'd like to see.",9
Céline,"It‘s so funny how she almost didn't notice you, you know. It's weird. I wonder why. She was, she was really wise, and intense, no? I really loved what she said, you know?",9
Jesse,"Yeah, of course you do, you know. You pay your money, you get to hear something that makes you feel good about yourself. If you want, maybe there's a seedy section of Vienna, we can go buy a hit of crack, you know. Would you like that? Yeah?",9
Céline,You're so,9
Jesse,"Stardust, Stardust.",9
Céline,"  Ow! Trou du cul!   Ah, there's an exhibition. Yeah, I guess we'll miss it. Doesn't start until next week.",10
Jesse,"Yeah, I think so.",10
Céline,"  I actually saw this one a few years ago in a museum. I stared, and stared at it. Must have been forty-five minutes. I love it. La voie ferre. Ah.   I love the way the people seem to be dissolving into the background.   Look at this one. It‘s like the environments, you know, are stronger than the people. His human figures are always so transitory. It‘s funny. Transitory?",10
Jesse,Yeah. Transitory.,10
Jesse,Think this is open?,11
Céline,"I don't know, let's try it.",11
Céline,"  I was in an old church like this with my grandmother a few days ago in Budapest. Even though I reject most of the religious things, I can't help but feeling for all those people that come here lost or in pain, guilt, looking for some kind of answers. It fascinates me how a single place can join so much pain and happiness for so many generations",11
Jesse,You close with your grandmother?,11
Céline,"Yeah. I think it‘s because I always...I always have this strange feeling that I am this very old woman laying down about to die. You know, that my life is just her memories, or something.",11
Jesse,"That's so wild. I mean, I always think that I'm still this thirteen year old boy, you know who just doesn't really know how to be an adult, pretending to live my life, taking notes for when I'll really have to do it. Kind of like I'm in a dress rehearsal for a Junior High play.",11
Céline,"That's funny. Then, up there in the Ferris wheel, it was like this very old woman kissing this very young boy, right?",11
Jesse,"Hmm. Do you know anything about the Quakers, the Quaker religion?",11
Céline,"No, not much, no.",11
Jesse,"Well, I went to this Quaker wedding once, and it was fantastic. What they do is the couple comes in and they kneel down in front of the whole congregation, and they just stare at each other, and nobody says a word unless they feel that God moves them to speak, or say something. And then, after an hour or so of just uh, staring at each other, they're married.",11
Céline,That's beautiful. I like that.,11
Jesse,This is a horrible story.,11
Céline,What?,11
Jesse,"It‘s not the appropriate place to tell it, but...",11
Céline,What?,11
Jesse,"Well, I was driving around with this buddy of mine, he was a big atheist, and we came to a stop, next to this homeless guy. And my buddy takes out a hundred dollar bill, and leans out the window, and he says, 'Do you believe in God?' And the guy looks at uh, he looks at my friend, and he looks at the money, he says uh, 'Yes, I do.' My friend says, 'Wrong answer.'  , and we drove away.",11
Céline,"That's mean, no?",11
Jesse,"Yeah uh, it‘s uh.",11
Céline,Ow!,12
Jesse,"Would you be in Paris by now, if uh, you hadn't gotten off the train with me?",12
Céline,"  No, not yet. What would you be doing?",12
Jesse,"I'd probably be hanging around the airport, reading old magazines, crying in my coffee   ‘cause you didn't come with me.",12
Céline,"Awwww. Actually, I think I'd probably have gotten off the train in Salzburg with someone else.",12
Jesse,"Oh, yeah? Oh, I see. So, I'm just that dumb American momentarily decorating your bland canvas.",12
Céline,I'm having a great time.,12
Jesse,Yeah?,12
Céline,Yeah.,12
Jesse,Me too.,12
Céline,"I'm so glad because no one knows I'm here, and I don't know anyone that knows you that would tell me all those bad things you've done.",12
Jesse,Mm-hmm?,12
Céline,Yeah.,12
Jesse,I'll tell you some.,12
Céline,"Yeah, I'm sure.",12
Jesse,Mm-hmm.,12
Céline,"You know, you hear so much shit about people. I always feel like the general of an army when I start dating a guy, you know, plotting my strategy and maneuverings, knowing his weak points, what would hurt him, seduce him. It's horrible.   If we were around each other all the time, what do you think would be the first thing about me that would drive you mad?",12
Jesse,"No uh, no, no, I'm not gonna answer this question, no.",12
Céline,Why?,12
Jesse,"I just, I dated this girl once who, who used to always ask me that question, “What about me bugs you?” you know. And so finally I said, “Well, you know, I uh, just don't think you handle criticism too well.” She flew into a rage, and broke up with me, alright? That's a true story. All she ever really wanted to do was to have an excuse to tell me what she thought was wrong with me, you know. Is that what you want?",12
Céline,What?,12
Jesse,Something about me bugs you?,12
Céline,No.,12
Jesse,It's alright. Tell me. What is it? What about me bugs you?,12
Céline,"Nothing, nothing at all.",12
Jesse,"Well, if it had to be something, what would it be?",12
Céline,"If it had to be something, if I had to think about it, I...I kind of didn't really like this reaction back at the palm reader. You were like this rooster prick.",12
Jesse,“Rooster prick”?,12
Céline,Yeah.,12
Jesse,What the hell a “rooster prick”?,12
Céline,You were like a little boy whining because all the attention wasn't focused on him.,12
Jesse,"Alright, listen, this woman robs you blind, okay?",12
Céline,"You were like a little boy walking by an ice cream store, crying because his mother wouldn't buy him a milkshake or something.",12
Jesse,I don't care what this woman has to say about anything.,12
Céline,What?,12
Céline,"Oh, I understand a little bit, but he doesn't, I'm sorry.",12
Céline,Yeah.,12
Céline,Okay.,12
Jesse,"Great, alright.",12
Jesse,Ummm...,12
Céline,A word uh...milkshake.,12
Jesse,"“Milkshake”? Oh, good. Yeah, I was gonna say “rooster prick,” but great.   “Milkshake.”",12
Jesse,"Yeah, right, so we'll...",12
Céline,Good.,12
Jesse,  What can I say? I like this Viennese variation of a bum.,12
Céline,"I like what he said about adding something to your life, no?",12
Jesse,"Yeah. So uh, were we having our first fight back there?",12
Céline,No...,12
Jesse,"Yeah, I think so, I think we were.",12
Céline,"Well, even if we were a little bit, you know. Why does everyone think conflict is so bad? There's a lot of good things coming out of conflict.",12
Jesse,"Yeah. Yeah, I guess so. I don't know, you know? I always think that if I could just accept the fact that my life was supposed to be difficult, you know, that's what's to be expected, then, I might not get so pissed off about it, and I'd just be glad when something nice happens.",12
Céline,"Maybe that's why I'm still in school, you know. It‘s easier to have something to fight against.",12
Jesse,"Yeah, well, we've all had such competitiveness engrained in us...",12
Jesse,"...you know, I could be doing the most nothing thing, you know, I could be uh, throwing some darts, or shooting some pool, and all of a sudden, I feel it come over me, “I have got to win.”",12
Céline,Is that why you tried to get me off the train? Competitiveness?,12
Jesse,What do you mean?,12
Jesse,"  Oh, alright.",12
Céline,  Will you read it to us?,12
Céline,  Great. Thanks.,12
Jesse,"Thanks, man.   Uh here you go, uh",12
Céline,"Here, thank you.",12
Jesse,"Yeah, good luck, man.",12
Céline,"That's wonderful, no?",12
Jesse,"Yeah, yeah.",12
Céline,What?,12
Jesse,"You know he probably didn't just write that. I mean, you know he wrote it, but he probably just plugs that word in  , you know, whatever “milkshake”...",12
Céline,What do you mean?,12
Jesse,"  Nothing, I love it, it was great.",12
Jesse,You know what drives me crazy?,13
Céline,What?,13
Jesse,"It‘s all these people talking about how great technology is, and how it saves all this time. But, what good is saved time, if nobody uses it? If it just turns into more busy work.",13
Céline,Yeah.,13
Jesse,"Right, I mean, you never hear somebody say, ""Well, you know, with uh, the time I've saved by using my word processor, I'm gonna go to a Zen monastery and hang out."" I mean, you never hear that.",13
Céline,Time is so abstract anyway. Were you looking at this girl?,13
Jesse,What? What?,13
Céline,Nothing.,13
Jesse,Do you want to go in here?,13
Céline,What?,13
Jesse,Do you want to go in here?,13
Céline,"Yeah. It‘s a club, no?",13
Jesse,Yeah.,13
Céline,Wanna go?,13
Jesse,Yeah.,13
Céline,  Allo.,13
Céline,  Fifty shillings.,13
Jesse,  Fifty shillings.,13
Céline,Each.,13
Jesse,"I got a hundred. Here, I got it.",13
Céline,I'll buy you a beer.   Thank you.,13
Jesse,You gonna buy me a beer?,13
Céline,Alright.,13
Jesse,  You think Ole Milwaukee's a little expensive here?,13
Céline,  Merde!,13
Jesse,"  Well, um, we haven't talked about this yet, but are you dating anyone? You got a boyfriend waiting on you back in Paris, or anything like that?",13
Céline,"No, not right now.",13
Jesse,Not right but you did?,13
Céline,We broke up about six months ago.,13
Jesse,Six months ago.,13
Céline,Yeah.,13
Jesse,"I'm sorry. I mean, I'm not that sorry. But, uh, tell me about it.",13
Céline,"Ah, no. No, no way, I can't. It‘s really, really boring.",13
Jesse,"C'mon, tell me about it.",13
Céline,"Okay. I was really disappointed. I thought this one would last for a while. I mean he was very stupid, ugly, bad in bed, alcoholic, you know.",13
Jesse,Real prize-winner.,13
Céline,"Yeah.   I was kind of giving him a favor, but he left me, saying I loved him too much, and, you know, I was blocking his artistic expression, or some shit like that, you know. But anyway, I was traumatized, and became   and became totally obsessed with him. And so I went to see this shrink, you know, and it came out that I had written this little stupid story about this woman, trying to kill her boyfriend, and how she was gonna do it, you know, with all the intricate details of, you know, how to do it, and not get caught,  And...",13
Jesse,She was gonna kill her boyfriend?,13
Céline,"Yeah. Yeah, she was. I mean, it’s nothing I would do, but it was just some writing, you know.",13
Jesse,"Alright, no, no, I understand.",13
Céline,"But anyway, this stupid shrink believed everything I was telling her, and it was my first time seeing her. She said she had to call the police.",13
Jesse,She had to call the police?,13
Céline,"  Yeah. She was, merde! She was totally convinced I was really gonna do it, you know, even though I'd explained to her it was just some writing, you know. She said, looking deep into my eyes, ""The way you said it, I know you are going to do it, the way you said it."" She was totally out of her mind. It was my first and last session.",13
Jesse,"Yeah, so what happened then?",13
Céline,"I totally got over him, you know. But now I'm obsessed that he's gonna die from an accident, or you know, a thousand kilometers away, I'm gonna be the one accused. Why do you become obsessed with people you don't really like that much, you know, I mean",13
Jesse,I don't know.,13
Céline,"So, how about you?",13
Jesse,What?,13
Céline,Are you with anyone?,13
Jesse,"Umm, it‘s funny how we managed to avoid this subject for so long, isn't it?",13
Céline,"Yeah, but now you have to tell me.",13
Jesse,"Well, I kind of see love as this uh, escape for two people who don't know how to be alone, you know, or uh, I mean, you know it‘s funny. People always talk about how love is this totally unselfish, giving thing, but if you think about it, you know, there's nothing more selfish.",13
Céline,"Yeah, I know. So, who just broke up with you?",13
Jesse,What?,13
Céline,"You sound like you've just been hurt, or something.",13
Jesse,No...do I?,13
Céline,Yeah.,13
Jesse,"Alright. Um, big confession, you know. I should have told you this earlier, Céline, but, you know...I didn't just come to Europe just to hang out, and read Hemingway in Paris, and shit  like that, you know. I saved up my money all spring to uh, fly to Madrid, and spend the summer with my girlfriend, who has been on this...",13
Céline,Your girlfriend?,13
Jesse,"  My EX-girlfriend, who has been on this asinine art history program for the last year. Anyway, I got here, right, and now we're reunited, at long last, and we went out to dinner, our first night ah, with six of her friends: Pedro, Antonio, Gonzalo, Maria, Suzie, from home, you know? She pretty much managed to avoid being alone with me for the first couple of days we were there, and I stuck around for a while, just to kind of let it really sink in that she wished I hadn't come. So I bought the cheapest flight out of Europe, this one leaving out of Vienna tomorrow, but it didn't leave for a couple of weeks. So, I bought this Eurail pass, you know? You know you know what's the worst thing about somebody breaking up with you? It‘s when you remember how little you thought about the people you broke up with, and you realize that that is how little they're thinking about you, you know?   You know, you'd like to think that you're both in all this pain, but really, they're just, “Hey, I'm glad you're gone.“",13
Céline,I know. You should look at bright colors.,13
Jesse,What?,13
Céline,"That's what the shrink told me, you know. I was paying her nine-hundred francs an hour, to hear that I was a homicidal maniac, and that I could eliminate my obsession if I would concentrate on bright colours.",13
Jesse,"Yeah, well did it work?",13
Céline,Well,13
Jesse,"Didn't help your pinball, did it?",13
Céline,"No. Yeah, well, you know. I haven't...I haven't killed anyone lately.",13
