speaker,line,scene
Jesse,"Yeah, I remember everything.",2
Céline,"Of course, it was in your book. But anyway, I was about to fly to Vienna, you know, and I...and we heard the news about her, and of course I took her to the funeral with my parents.",2
Jesse,"Yeah, well, I'm sorry to hear that.",2
Céline,"I know. But you weren't there anyway.   Wait. Why weren't you there? I would have been there if I could have, I made plans, and...Wait. You‘d better have a good reason!",2
Céline,"What?!   Oh...no! No, you were there, weren't you?   Oh, no, that's terrible!   I know I'm laughing, but I don't mean it! Did you hate me? You must have hated me. Have you been hating me all this time? You have!",2
Jesse,"No, no...",2
Céline,"Yes, you have! Oh, but you can't hate me now, right? I mean, my grandma...",2
Jesse,"I don't hate you, alright? Come on, it's no big deal, alright? I flew all the way over there, you blew the thing off, and then my life has been a big nosedive since then, but I mean it's not a problem.",2
Céline,"No, you can't say that!",2
Jesse,"No, I'm kidding, I'm kidding.",2
Céline,"Oh, I can't believe it, you must have been so angry with me... I'm so sorry, I really wanted to be there, more than anything in the world! I swear...Honestly, I swear...I mean, you can't be angry...my grandmother...",2
Jesse,"No, I know, I know, I honestly thought that something like that might have happened. I was definitely bummed, but...Mostly, I was jut mad we hadn't exchanged any phone numbers or any information.",2
Céline,"I know, that was so stupid, no way to get in touch. I didn't even know your last name.",2
Jesse,"I know, we had nothing to go on. I know, I know...remember, I mean we were both afraid that if we started writing and calling, that it would slowly...you know, fade out.",2
Céline,"Yeah, it definitely wasn't a slow fade.",2
Jesse,"No, it sure wasn't.",2
Céline,"I know, we wanted to pick it up were we left off.",2
Jesse,Which would have been fine if it had worked.,2
Céline,"Yes, good idea.",2
Jesse,Oh well.,2
Céline,"  How long were you in Vienna, then?",2
Jesse,Just a couple of days.,2
Céline,Did you meet another girl?,2
Jesse,"Aah, yeah. Her name was Gretchen, and she was amazing.",2
Céline,You did?,2
Jesse,"Yeah, the book is really a composite of the two of you.",2
Céline,"Really? Oh, no!",2
Jesse,"No, I'm kidding! You wouldn't believe it, I even went back to the train station. I put up, you know, signs of my number,   and the hotel, in case you've been delayed. I was a total dork.",2
Céline,Let's go this way. Did you get any calls?,2
Jesse,"Just a couple hookers, looking for a gig. No, it was awful. I mean, what do you want me to say?",2
Céline,"Oh, it's so sad. I'm so sorry!",2
Jesse,"I walked around for a couple of days. Eventually, I flew home, I owed my dad 2000 bucks, who had warned me about French chicks, I have to say.",2
Céline,  What did he tell you about French women?,2
Jesse,"Nothing, the guy... he's never met any French women. He's never been east of the Mississippi.",2
Céline,"So why didn't you put that “six months later, uh, the French bitch didn't have show up.” You know, like...",2
Jesse,"But I did, I did.",2
Céline,You did?,2
Jesse,"Yeah, no, I mean I made it more hopeful. I wrote this whole fictional version in which you actually do show up.",2
Céline,"Oh, what happens?",2
Jesse,"Well, um...",2
Céline,What?,2
Jesse,"Well, we make love for about ten days straight, that's one part of it.",2
Céline,"Oh, that's interesting. So, “the French slut.” Yeah, OK, OK...",2
Jesse,"Yeah, exactly. It's just, then they, you know, they start to get to know each other better and they realize that they don't get along at all.",2
Céline,"Oh, I like that. It's more real.",2
Jesse,"Yeah, well, my editor didn't think that way.",2
Céline,"No, everyone wants to believe in love. It sells, right?",2
Jesse,"Yeah, exactly...so...",2
Céline,"So things are going well for you, right? I mean, your book is a best seller in the U.S.",2
Jesse,It's a TINY best-seller.,2
Céline,"Oh, come on.",2
Jesse,"Alright, yeah right, officially, yes, but I mean most people haven't read Moby Dick, you know, so why should they read my book?",2
Céline,"Well, I haven't read Moby Dick, and I liked your book, so...",2
Jesse,Thanks.,2
Céline,"You know  , I thought you idealized the night a bit.",2
Jesse,"Oh, come on, it's officially fiction.",2
Céline,"No, no, no. No, I know, I know. I know, I thought...You know, there were times when you made me a...well, I mean her, right? No, me...OK, whatever! A little bit neurotic!",2
Jesse,"You are a little bit like that, aren't you?",2
Céline,You think I'm neurotic?,2
Jesse,"No, no, no, come on, I'm kidding! Where did I do that? I didn't do that.",2
Céline,"Well, maybe it's just me. You know, uh, reading something knowing that the character in the story is based on you...it's both...flattering and disturbing at the same time.",2
Jesse,How is it disturbing?,2
Céline,"I don't know, just...being part of someone else's memory. Seeing myself through your eyes. How long did it take you to write it?",2
Jesse,"Um, uh, 3 or 4 years, on and off.",2
Céline,"Wow, that's a really long time to be writing about one night.",2
Jesse,"Yeah, I know, tell me about it.",2
Céline,I always assumed you had forgotten me.,2
Jesse,"No, I had a pretty clear picture of you in my mind. I have to tell you something.   I just...",2
Céline,What?,2
Jesse,"I wanted to talk to you for so long, you know, that now...",2
Céline,"Yeah, me too.",2
Jesse,"It's just surreal, you know, I feel like everything out of my mouth should be...",2
Céline,"I know, I know, how long do we have?   20 minutes and 30 seconds? Let's go!",2
Jesse,"  No, we got more than that. I wanna know about you. Tell me what are you doing...you know, what are you up to?",2
Céline,"Uh, where to start...I, uh, I work for Green Cross. It's an environmental organization.",2
Jesse,"Yeah, what are...what are they all about?",2
Céline,"Well, we basically work on different environment issues, from clean water to disarmament of chemical weapons. You know, international laws that deal with the environment.",2
Jesse,"And, and, what do you do for them?",2
Céline,We're going this way.,2
Jesse,Wow!,2
Céline,"Well, yeah, the cotton industry there is a major source of pollution, so...",2
Jesse,"I mean, this sounds like you're actually doing something, you know, I mean, most people, myself included, just...sit around and bitch, you know. America's consuming all the world’s resources, SUVs suck, global warming is real...",2
Céline,"You know, I'm really relieved to hear you're not one of those Freedom Fries kind of Americans.",2
Jesse,"Hey, you know...But, how did you get into that?",2
Céline,"I came out of political science, and I was hoping to work for the government. And I did, for a little while...ugh, terrible!",2
Jesse,Not good?,2
Céline,"Yeah, no.",2
Jesse,"You know, I always thought you'd be doing something cool like that. I did!",2
Céline,Thanks. I just feel really really lucky to be doing a job I like.,2
Jesse,"Yeah. You know, I actually alternated between thinking that...You know, everything is irrevocably screwed up, and that things might be getting better in some ways.",2
Céline,  Better? How could you possibly say that?,2
Jesse,"Well, I just mean, you know, like...I mean, I know it sounds weird, but there are things to be optimistic about.",2
Céline,"OK...uh, I know your book is selling, which is great, I'm very happy for you, but let me break the news for you, OK? The world is a mess right now!",2
Jesse,I wasn't saying that...,2
Céline,"  I can’t see how you can say things are getting “a bit better.” OK, we're moving all our industry to developing nations. We can get cheap labor free of any environmental laws.",2
Céline,"OK, the weapon industry is booming. Five million people die every year from preventable water disease. So, how is the world getting any better? I'm not getting angry, I'm not getting angry, but come on, I want to know, I'm interested!",2
Jesse,"OK, I realize that there are a lot of serious problems in the world.",2
Céline,"OK  , thank you!",2
Jesse,"  I mean, I don't even have one publisher in the whole Asian market.",2
Céline,"OK, alright.   Say ""stop.""",2
Jesse,"OK, OK, what? ""Stop.""",2
Céline,  OH!,2
Jesse,"  No, look, all I'm saying is that there's more awareness out there, right?   People are going to fight back!",2
Céline,OK.,2
Jesse,"You know, I mean I think the world might be getting better because people like you are educated into speaking out. Even the very notion of conservation, environmental issues, those weren't even in the vocabulary until fairly recently, you know, and now they're becoming a norm, and eventually might be what's expected all over the world.",3
Céline,"I agree with what you're saying, but at the same time, it's dangerous. An imperialist country can use that kind of thinking to justify their economic greed. You know, human rights...",3
Jesse,"Is there a particular imperialistic country you have in mind there, Frenchy?",3
Céline,"  No, not really.",3
Céline,  Bonsoir!,3
Jesse,  Bonsoir.,3
Céline,"So, you want to sit over there?",3
Jesse,"Yeah, this is perfect. Oh, wow, maybe what I'm saying is the world might be evolving the way a person evolves.",3
Jesse,"Right, I mean...me, for example. Am I getting worse? Am I improving? I don't know. When I was younger, I was healthier, but I was, uh, racked with insecurity, you know? Now I'm older, my problems are deeper, but I'm more equipped to handle them.",3
Céline,So what are your problems?,3
Jesse,"  Right now? I don't have any. I don't, you know? Just   damn happy to be here!",3
Céline,"Me too.   So, how long have you been in Paris?",3
Jesse,"I got in last night, I've done 10 cities in 12 days. I'm wrecked. I'm so glad it's over, you know? I'm tired of being a huckster.",3
Céline,  What do you want?,3
Jesse,"Um, a cup of coffee.",3
Céline,"Un café et un citron pressé, s'il vous plait.",3
Jesse,"  God, I love this cafe. I wish they had places like this in the U.S.",3
Céline,"Yeah, I missed cafes when I was living over there. I mean, I find a few places I really liked, but there was...",3
Jesse,  You...You were living in the U.S.?,3
Céline,"Yes, from, uh, '96 to '99. I was studying at NYU.",3
Jesse,"OH, GOD   don't tell me that, Céline!",3
Céline,What?!,3
Jesse,"No, it's just...Nothing, I mean I...",3
Céline,What?,3
Jesse,"I've been living in New York since '98. You know, we were there at the same time!",3
Céline,In New York?,3
Jesse,Yeah.,3
Céline,"Ah, that's weird. It actually crossed my mind a few times that I might run into you, but...The odds are so slim, right? So...I didn't even know what city you were living in. Weren't you somewhere in Texas? You were in Texas.",3
Jesse,"Yeah, yeah, yeah. Definitely, I just...I was for a long time, I just...You know, wanted to try New York.",3
Céline,  Wow.,3
Jesse,What brought you back here?,3
Céline,"Uh, I had finished my master’s, for one. And...no visa. No more visa. And, anyway, I was starting to get paranoid. All the violence in the medias. Gang violence, murders. Especially serial killers.   But, the final straw was...one night I heard a...some noise on my fire escape, so I called 911. And the cops came, eventually.",3
Jesse,"Yeah, like 3 hours later.",3
Céline,"Yeah, after I had been raped and killed about 30 times.   No, but...It was a man and a woman officer, and I was explaining to them what I had heard, when the woman had to run downstairs to move the police car. So, I was left alone with the male cop. And right away, he asked me if I had a gun. And I said no, of course not, I...And he told me: ""You better think about getting one. This is America, not France."" OK? And I said to him, you know, I have no idea how to shoot a gun, and I have no interest in firearms, whatsoever. And that's when he pulled out his gun, like this  ...and he went: ""Well, one day...you're gonna have something like THIS in your face, and if you wanna have a long life, you're gonna have to choose...between you...or THEM."" And then they left. And the next morning I called for an application to get a gun.   Me, with a gun! I mean, that's really scary. But then I realized something was wrong, the way that that cop had pulled his gun out, and everything, right?",3
Jesse,"Yeah, sure!",3
Céline,"So I canceled my demand for the gun, and I called the police station, and tried to complain about that cop's behavior, but...",3
Jesse,What happened with that?,3
Céline,"It was so much paperwork...and then I got scared, with my shitty student visa.",3
Jesse,"Yeah, you thought you'd get deported?",3
Céline,"Yeah, exactly! So I gave up and I forgot about the whole thing. Well, I guess I never forgot.",3
Jesse,Well obviously...yeah.,3
Céline,"But, still, you know...I really enjoyed being there. There's a lot of things I miss about the U.S.",3
Jesse,"Yeah, like what?",3
Céline,"Um...well...The overall good mood people have there, like, you know, even if it can be bullshit sometimes. Like   ""How‘re you doin'?"" ""Great!"" ""How’re you doin'?"" ""Great!"" ""Have a great day!""   I don't know...Parisians can be so grumpy, have you noticed?",3
Jesse,"No, everybody seems pretty happy to me.",3
Céline,"  Unh, they're not happy.",3
Jesse,  They're not happy?,3
Céline,"No, they are, I don't know. Maybe I just mean French men. They drive me nuts.",3
Jesse,What is it? What about them?,3
Céline,"Well, they're very nice. They're great, you know, to be around, they love food, wine. They're great cooks. But, I don't know, maybe I've had really bad luck with them, or something.",3
Jesse,Why? What do you mean?,3
Céline,"Um, well...I guess they're not as um...",3
Jesse,What?,3
Céline,What's the word? Um...”horny”? They're not as horny.,3
Jesse,"  Horny? Now alright, well, listen to me on this one, alright, you know. In that regard, I am proud to be an American.",3
Céline,"And you should be, in that regard only.",3
Céline,Merci. Have you ever spent some time in Eastern Europe?,3
Jesse,"Eastern? No, no...",3
Céline,"No? I, uh, remember as a teenager I went to Warsaw, when it was still a strict communist regime. Which I don't approve of at all.",3
Jesse,"  Oh yeah, sure you don't...",3
Céline,"No, I don’t.",3
Jesse,"No, I'm just kidding!",3
Céline,"But, anyway, something about being there was very interesting, I found. After a couple of weeks, something changed in me. The city was quite gloomy and gray and...but, after a while, my brain seemed clearer. I was writing a lot more in my journal, ideas I had never thought of before.",3
Jesse,Communist ideas?,3
Céline,"Listen, I'm not...",3
Jesse,"I'm sorry, I can't...Go on!",3
Céline,"I'll send you to a Gulag! No...but it took me a while to figure out why it felt, you know, so different. And then, one day, as I was walking through the Jewish cemetery, I don't know why, but it occurred to me there, I realized that I had spent the last 2 weeks away from most of my habits. TV was in a language I didn't understand. There was nothing to buy, no advertisements anywhere. So, all I've been doing was...walk around, think, and write. My brain felt like it was at rest, free from the consuming frenzy. And I have to say, it was almost like a natural high. I felt so peaceful inside, no...strange urge to be somewhere else, to shop...Maybe it could have seemed like boredom at first, but it quickly became very, very soulful. It's interesting, you know?",3
Jesse,Can you believe that it was 9 years ago that we were walking around Vienna?,3
Céline,9 years? No that's impossible.,3
Jesse,"It was, I know, it feels like 2 months ago to me, but it was summer '94.",3
Céline,  Do we look any different?   I do.,3
Jesse,  I'd have to see you naked.,3
Céline,  What?,3
Jesse,"I'm sorry. Your hair was different back then, it was like...",3
Céline,"What, it's the same.",3
Jesse,"Yeah, take it down, let's see!",3
Céline,"Down, it was down. OK.   Well, voila!   So? OK, come on, tell me.",3
Jesse,"Uh...skinnier, I think,   a little thinner.",3
Céline,Did you think I was fat before?,3
Jesse,No.,3
Céline,"Yeah, you thought I was a fatty. No, you thought I was a fatty. Yeah, you wrote a book about a fat French girl! Oh, no!",3
Jesse,"No, listen. Seriously, alright, you look beautiful. Do I look any different?",3
Céline,"No. Not at all, although actually,   you have this line.",3
Jesse,I know.,3
Céline,Looks like a scar.,3
Jesse,"  A SCAR? What, like a gunshot wound?",3
Céline,"No, no, no, I lied to you, I'm sorry. I had this funny...well, horrible dream the other day. I was having this awful nightmare, that I was 32, and then I woke up, and I was 23, so relieved! And then I woke up for real, and I was 32. Scary!",3
Jesse,It happens.,3
Céline,"Yeah, time goes faster and faster. Apparently, it's because we don't renew our synapses after 20. So, it's pretty much downhill from then on. Oh well.",3
Jesse,"I like getting older, you know, it feels...I don't know, it feels more immediate. You know, like I can appreciate things more.",3
Céline,"No, me too, actually. I really love it.",3
Jesse,I was once a... ...a drummer in a band.,3
Céline,You were?,3
Jesse,"Yeah, we were pretty good, actually. But then...the lead singer guy, he was just so obsessed with us getting a record deal.   You know, it's all we talked about, it was all we thought about, getting bigger shows, and everything was just...focused on the future, all the time. And now, the band doesn't even exist anymore, right? And looking back at the...at the shows we did play, even rehearsing...you know,   it was just so much fun! Now I'd be able to enjoy every minute of it. Can I have a drag?",3
Céline,"Well, your book has been published, that's... that's a pretty big deal, and you've been all around Europe with it. Are you enjoying every minute of it?",3
Jesse,  Not really...,3
Céline,Not really?,3
Jesse,Do you have another one of those?,3
Céline,"Yes, of course.   Um, here.   In my field, I see these people that...  ...uh, sorry...come into it with big idealist visions of becoming the new leader that will create a better world. They enjoy the goal, but not the process!",3
Jesse,Right.,3
Céline,"But the reality of it is that the true work of improving things is in the little achievements of the day. And that's what you need to enjoy, just in that field.",3
Jesse,"What, what do you mean, exactly?",3
Céline,"Well, for example, I was working for this organization that helped villages in Mexico. And their concerns was how to get the pencils sent to the kid in these little country schools. I was not about big revolutionary ideas, it was about pencils. I see the people that do the real work and what's really sad, in a way, is that...the people that are the most giving, hard working and capable of making this world better, usually don't have the ego and ambition to be a leader. They don't see any interest in superficial rewards, they don't care if...if their name ever appear in the press. They actually enjoy the process of helping others, they're in the moment.",3
Jesse,"Yeah, but that's so hard! You know, to be in the moment. I just feel like I'm...designed to be slightly dissatisfied with everything. You know? I mean, like...always trying to better my situation. You know, I satisfy one desire, and it just... agitates another, you know? Then I think, to hell with it, right? I mean, desire is the fuel of life, I mean, do you think it's true that if we never wanted anything, we'd never be unhappy?",3
Céline,"I don't know... Not wanting anything, isn't that... a symptom of depression? Yeah, that is, right? I mean, it's healthy to desire, right?",3
Jesse,"Yeah... I don't know, I mean, it's what all those Buddhist guys say, right? You know, liberate yourself from desire and you'll find that you already have everything you need.",3
Céline,"Yeah, but I feel really alive when I want something more than just basic survival needs. I mean, wanting whether it's intimacy with another person, or a new pair of shoes, is kind of beautiful. I like that we have those ever-renewing desires.",3
Jesse,"Well, maybe it's just a sense of entitlement. You know, like whenever you feel like you deserve that new pair of shoes, you know. It's OK to want things as long as you don't get pissed off if you don't get 'em. Right? Life's hard. It's supposed to be. If we didn't suffer, we wouldn't learn a thing, you know?",3
Céline,"So, what? Are you a Buddhist or something?",3
Jesse,No.,3
Céline,No? Why not?,3
Jesse,"I don't know, uh...Same reason I don't consider myself anything, really.",3
Céline,"Yeah, I know. I decided a long time ago that I was gonna be open to everything, but, not buy into any one-and-only belief system.",3
Jesse,"I went to this, uh, Trappist monastery, a couple of years ago.",3
Céline,Trappist?,3
Jesse,"Yeah, they're Catholics, Cistercians.",3
Céline,Why did you do that?,3
Jesse,"Why? I had just been doing some reading, I guess... I don't know, I thought it'd be cool. Have you ever spent any time with any monks and nuns?",3
Céline,No. It's not really my style.,3
Jesse,"No? I expected them to be all glowering and stern, you know, but they weren't. They were really quick to laugh, really easy to be around. Seriously, very attuned to everything. They were just, uh...you know, they weren't trying to hustle anybody. They're trying to live and die, in peace with God, you know, or whatever part of them they feel is eternal. It was just so refreshing to be around. You know, you realize that most of the people that you meet are trying to get somewhere better, you know, they're trying to make a little bit more cash, trying to get a little more respect, have more people admire them, you know. It's just exhausting.",3
Céline,"Yeah, no kidding.",3
Jesse,"You know, it's exhausting to be one of those people yourself, you know? I mean, there I...there I am, right, you know, all greedy to be more spiritual, you know, I wanna be a better person, you know? You can't escape.",3
Céline,"I had this...this boyfriend of mine, many years ago, that wanted to be a Buddhist, and...so he went to Asia to visit some of those monasteries.",3
Jesse,"Yeah, I thought about doing that, too.",3
Céline,"Yeah, you should. I'll tell you why. Ah, he was quite good looking, and, each time he went to one of those monasteries, a monk offered to suck his cock.   True story!",3
Jesse,"Well, it all comes down to that, doesn't it? I mean, I think that's why I really admire what you're doing, you know?",3
Céline,"What do you mean, sucking cock?",3
Jesse,"Ah, NO. I was gonna say, uh...you know, you're not detached from life. You know, you're putting your passion into action.",3
Céline,"Well, I try.",3
Jesse,"  Hey, you know something, I'm...I'm gonna be on planes, and like, in an airport for the next 8 hours. I'd just love to...to see a little bit more of Paris. Would you walk around with me a little bit?",3
Céline,"Yeah, yeah, let's do that!",3
Jesse,Do you mind?,3
Céline,"No, no, no, that's great!",3
Jesse,Do you want to?,3
Céline,"Let’s do that. Yeah, yeah, that's great!",3
Jesse,"What do we owe here? 4,50.   No, no, I got it, I got it. I got a little per diem going on here. Is this good for like a tip?",3
Céline,"Yeah, that's fine. That's more than enough.",3
Jesse,"Alright, is there anywhere to go around here?",3
Céline,"  Uh, it's sales day, today!",3
Jesse,  What's that?,3
Céline,"It's when everything is on sale in Paris. It's twice a year.   Au revoir, merci!",3
Jesse,"  Au revoir, merci! Alright, let's go shopping!",3
Céline,"  No, no, no, no, that's a bad idea. I don't want to inflict that on you. It's madness. Let's just go on this garden path.",3
Jesse,Alright.,3
Céline,It's really nice.,3
Céline,Scene IV – Garden Walk A La Promenade Plantée,4
Jesse,"Alright, that sounds better than shopping, actually. I mean, not that I wouldn't do whatever you wanted.",4
Céline,"You know, sometimes I don't even need to buy anything. I just get high on trying on and looking at things.",4
Jesse,"Yeah, well a therapist would tell you...Is this where we're going?",4
Céline,Yeah!,4
Jesse,A therapist would tell you it's all good.,4
Céline,Really?,4
Jesse,Yeah.,4
Céline,Are you ever in therapy?,4
Jesse,"Oh, no. Do I seem like I'm in therapy?",4
Céline,  I'm kidding. Has it helped your sex problems?,4
Jesse,My SEX problems?,4
Céline,"No, I'm kidding.",4
Jesse,"No, c’mon, tell me the truth. I mean, we didn't have any problems that night.",4
Céline,"No, I'm kidding!   We didn't even have sex, anyway.",4
Jesse,"But, that's a joke, right?",4
Céline,"No, we didn't! I mean, that was the whole thing.",4
Jesse,"No, of course we did!",4
Céline,"No, no, no, no, we didn't. You didn't have a condom, and I never have sex without one. Especially on a one night thing. I mean, I'm extremely paranoid about my health. There's no way I would have...",4
Jesse,"  Whoa, I find this very scary that you don't remember what happened.",4
Céline,"What?   No, listen, OK...I didn't write an entire book, but I kept a journal, OK? And I wrote the whole night in it. That's what I mean, you idealizing the night!",4
Jesse,"Alright, listen! I even remember what brand of condom we used.",4
Céline,"OK, that's disgusting. I don't want to hear it!",4
Jesse,It's not disgusting.,4
Céline,"OK, you know what, when I get home, I'll check my journal from '94, but I know I'm right!   Wait a minute...",4
Jesse,What?,4
Céline,Was it in the cemetery?,4
Jesse,"No...no, we went to the cemetery in the afternoon, it was in a park. VERY late at night? In the park.",4
Céline,  Wait a minute.,4
Jesse,  I can’t I can’t,4
Céline,  No,4
Jesse,"Is it that forgettable? I mean, you really don't remember...  in the park!",4
Céline,"OK, wait a minute. I...I think you might be right.",4
Jesse,"Alright now, you're messing with me, now. Are you messing with me?",4
Céline,"OK, no, I'm sorry! I think you...I mean, you're right, OK? Sometimes, I put things in drawers inside my head, and forget about it.   I guess it's less painful to put certain things away than to live with it! I'm sorry!",4
Jesse,So that...that night was a sad memory for you?,4
Céline,"No, I didn't mean that night in particular. I just meant certain things are better off forgotten.",4
Jesse,I remember that night better than I do entire years.,4
Céline,Me too.,4
Jesse,  Really?,4
Céline,"Well, I thought I did...But, maybe I...Maybe I put it away because of the fact that...my grandmother's funeral was the day we were supposed to meet again.",4
Jesse,"Yeah, right, it was a tough day for me, but it must have been worse for you.",4
Céline,"It was unreal. I remember looking at her dead body in the coffin.   Her beautiful hands so warm, so sweet, that used to hold me, that...Nothing in that coffin resembled what I remembered of her. All the warmth was gone. Then I was crying...so confused if I was crying because I was never gonna see her again and never gonna see...  you again. I'm sorry. I'm sorry to go on like this, I've been a little down this week, I don't know.",4
Jesse,Why?,4
Céline,"I don't know, nothing bad, just... reading your book, maybe? No, but...thinking about how hopeful I was that summer and fall, and since then it's been kind of a...I don't know. Memory is a wonderful thing, if you don't have to, uh, deal with the past.",4
Jesse,"“Memory is a wonderful thing, if you don't have to deal with the past.” Can I put that on a bumper sticker? No, you know what? If you wrote a book about our night, that would be a good title!",4
Céline,"Yeah, it could be a totally different book.",4
Jesse,"Yeah, there'd be no sex scenes.",4
Céline,But you know what?,4
Jesse,What?,4
Céline,"Now that we've met again, we can change our memory of that December 16th.  It no longer has that sad ending of us never seeing each other again. Right?",4
Jesse,"Yeah, you’re right. I guess a memory is never finished. As long as you're alive...",4
Céline,"Yeah, I know. I have this memory from my childhood, that I realized recently, never happened.",4
Jesse,What?,4
Céline,"Well, when I was 8 or 9, my mom was so paranoid when I was walking home, from my piano lesson at night. She would always warn me about dirty old men, giving me candies, and then showing me their peepees. She was so obsessed with it, that later in life, you know, I had...I had this image in my head that this really happened. To the point that I even associated sex with that walk home. I mean, sometimes, even now, when I'm...  when I'm when I’m having sex, I see myself walking down that street. I swear!   It's so weird, right?",4
